Scenario,base_ssp245_CRH,base_ssp245_CRH,base_ssp245_CRH,base_ssp245_CRH,base_ssp245_CRH,base_ssp245_CRH,base_ssp245_CRH,base_ssp245_CRH,base_ssp245_CRH,base_ssp245_CRH,base_ssp245_CRH,base_ssp245_CRH,base_ssp245_CRH,base_ssp245_CRH,base_ssp245_CRH,base_ssp245_CRH,base_ssp245_CRH,base_ssp245_CRH,base_ssp370_CRH,base_ssp370_CRH,base_ssp370_CRH,base_ssp370_CRH,base_ssp370_CRH,base_ssp370_CRH,base_ssp370_CRH,base_ssp370_CRH,base_ssp370_CRH,base_ssp370_CRH,base_ssp370_CRH,base_ssp370_CRH,base_ssp370_CRH,base_ssp370_CRH,base_ssp370_CRH,base_ssp370_CRH,base_ssp370_CRH,base_ssp370_CRH,base_ssp585_CRH,base_ssp585_CRH,base_ssp585_CRH,base_ssp585_CRH,base_ssp585_CRH,base_ssp585_CRH,base_ssp585_CRH,base_ssp585_CRH,base_ssp585_CRH,base_ssp585_CRH,base_ssp585_CRH,base_ssp585_CRH,base_ssp585_CRH,base_ssp585_CRH,base_ssp585_CRH,base_ssp585_CRH,base_ssp585_CRH,base_ssp585_CRH,fut1_ssp245_CRH,fut1_ssp245_CRH,fut1_ssp245_CRH,fut1_ssp245_CRH,fut1_ssp245_CRH,fut1_ssp245_CRH,fut1_ssp245_CRH,fut1_ssp245_CRH,fut1_ssp245_CRH,fut1_ssp245_CRH,fut1_ssp245_CRH,fut1_ssp245_CRH,fut1_ssp245_CRH,fut1_ssp245_CRH,fut1_ssp245_CRH,fut1_ssp245_CRH,fut1_ssp245_CRH,fut1_ssp245_CRH,fut1_ssp370_CRH,fut1_ssp370_CRH,fut1_ssp370_CRH,fut1_ssp370_CRH,fut1_ssp370_CRH,fut1_ssp370_CRH,fut1_ssp370_CRH,fut1_ssp370_CRH,fut1_ssp370_CRH,fut1_ssp370_CRH,fut1_ssp370_CRH,fut1_ssp370_CRH,fut1_ssp370_CRH,fut1_ssp370_CRH,fut1_ssp370_CRH,fut1_ssp370_CRH,fut1_ssp370_CRH,fut1_ssp370_CRH,fut1_ssp585_CRH,fut1_ssp585_CRH,fut1_ssp585_CRH,fut1_ssp585_CRH,fut1_ssp585_CRH,fut1_ssp585_CRH,fut1_ssp585_CRH,fut1_ssp585_CRH,fut1_ssp585_CRH,fut1_ssp585_CRH,fut1_ssp585_CRH,fut1_ssp585_CRH,fut1_ssp585_CRH,fut1_ssp585_CRH,fut1_ssp585_CRH,fut1_ssp585_CRH,fut1_ssp585_CRH,fut1_ssp585_CRH,fut2_ssp245_CRH,fut2_ssp245_CRH,fut2_ssp245_CRH,fut2_ssp245_CRH,fut2_ssp245_CRH,fut2_ssp245_CRH,fut2_ssp245_CRH,fut2_ssp245_CRH,fut2_ssp245_CRH,fut2_ssp245_CRH,fut2_ssp245_CRH,fut2_ssp245_CRH,fut2_ssp245_CRH,fut2_ssp245_CRH,fut2_ssp245_CRH,fut2_ssp245_CRH,fut2_ssp245_CRH,fut2_ssp245_CRH,fut2_ssp370_CRH,fut2_ssp370_CRH,fut2_ssp370_CRH,fut2_ssp370_CRH,fut2_ssp370_CRH,fut2_ssp370_CRH,fut2_ssp370_CRH,fut2_ssp370_CRH,fut2_ssp370_CRH,fut2_ssp370_CRH,fut2_ssp370_CRH,fut2_ssp370_CRH,fut2_ssp370_CRH,fut2_ssp370_CRH,fut2_ssp370_CRH,fut2_ssp370_CRH,fut2_ssp370_CRH,fut2_ssp370_CRH,fut2_ssp585_CRH,fut2_ssp585_CRH,fut2_ssp585_CRH,fut2_ssp585_CRH,fut2_ssp585_CRH,fut2_ssp585_CRH,fut2_ssp585_CRH,fut2_ssp585_CRH,fut2_ssp585_CRH,fut2_ssp585_CRH,fut2_ssp585_CRH,fut2_ssp585_CRH,fut2_ssp585_CRH,fut2_ssp585_CRH,fut2_ssp585_CRH,fut2_ssp585_CRH,fut2_ssp585_CRH,fut2_ssp585_CRH
Return Period (yr),10,10,10,25,25,25,50,50,50,100,100,100,250,250,250,1000,1000,1000,10,10,10,25,25,25,50,50,50,100,100,100,250,250,250,1000,1000,1000,10,10,10,25,25,25,50,50,50,100,100,100,250,250,250,1000,1000,1000,10,10,10,25,25,25,50,50,50,100,100,100,250,250,250,1000,1000,1000,10,10,10,25,25,25,50,50,50,100,100,100,250,250,250,1000,1000,1000,10,10,10,25,25,25,50,50,50,100,100,100,250,250,250,1000,1000,1000,10,10,10,25,25,25,50,50,50,100,100,100,250,250,250,1000,1000,1000,10,10,10,25,25,25,50,50,50,100,100,100,250,250,250,1000,1000,1000,10,10,10,25,25,25,50,50,50,100,100,100,250,250,250,1000,1000,1000
Statistic,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min
Noumea,37.53,35.25,34.17,46.12,43.205,41.72,52.26,48.6,47.15,56.7,53.275000000000006,51.34,61.88,59.19,56.78,70.1,65.56,62.2,37.53,35.25,34.17,46.12,43.205,41.72,52.26,48.6,47.15,56.7,53.275000000000006,51.34,61.88,59.19,56.78,70.1,65.56,62.2,37.53,35.25,34.17,46.12,43.205,41.72,52.26,48.6,47.15,56.7,53.275000000000006,51.34,61.88,59.19,56.78,70.1,65.56,62.2,38.94,36.75,34.66,46.95,45.2,42.05,51.72,50.83,47.26,56.35,55.385000000000005,51.16,62.02,59.28,56.36,68.91,64.675,63.31,37.58,36.370000000000005,34.48,47.0,45.17,42.21,52.91,51.155,46.5,57.97,55.269999999999996,49.91,64.53,59.72,55.68,71.35,64.97,63.67,38.71,37.2,34.74,47.84,45.515,41.22,53.61,52.035,45.89,58.93,56.165,50.29,63.94,61.015,55.17,71.76,67.815,62.63,39.88,35.56,33.94,47.64,44.59,42.35,52.92,50.17,47.78,57.14,54.91,52.87,61.97,59.47,58.72,70.82,65.65,63.75,38.93,37.165000000000006,32.49,47.47,45.845,40.51,53.23,51.260000000000005,46.37,58.13,54.85,50.38,63.74,60.07,55.16,70.66,66.78999999999999,61.06,40.6,35.185,33.6,49.71,44.155,42.19,55.2,49.17,47.72,59.08,54.235,52.81,63.84,60.055,59.45,71.31,68.9,67.6
Miami,35.86,34.28,32.64,43.19,40.760000000000005,40.04,48.68,45.595,44.63,54.62,50.84,48.23,59.95,55.97,52.45,69.42,62.474999999999994,59.71,35.86,34.28,32.64,43.19,40.760000000000005,40.04,48.68,45.595,44.63,54.62,50.84,48.23,59.95,55.97,52.45,69.42,62.474999999999994,59.71,35.86,34.28,32.64,43.19,40.760000000000005,40.04,48.68,45.595,44.63,54.62,50.84,48.23,59.95,55.97,52.45,69.42,62.474999999999994,59.71,36.43,34.195,33.1,43.66,41.225,39.11,48.34,47.394999999999996,43.42,55.01,51.845,48.24,61.58,56.015,53.55,71.58,64.35499999999999,60.63,40.72,35.08,32.34,48.34,42.435,39.74,54.45,47.705,44.7,59.05,52.53,49.26,64.07,58.644999999999996,55.2,71.63,65.61,63.03,38.86,34.855000000000004,32.64,44.93,42.17,39.21,49.87,46.57,42.35,52.73,51.620000000000005,46.69,58.84,56.985,53.6,68.44,64.37,62.58,37.95,33.915,30.46,45.09,41.415,38.52,50.37,46.269999999999996,43.71,53.82,50.84,47.44,60.27,57.0,53.03,66.29,65.07499999999999,58.92,37.75,31.935,29.33,45.22,38.57,36.87,49.99,43.04,41.35,53.84,48.395,46.34,58.01,53.955,51.6,63.06,58.88,57.61,40.45,32.650000000000006,27.96,47.69,39.55,36.37,52.43,44.44,40.62,57.92,48.864999999999995,43.57,64.35,55.56,47.09,70.39,63.055,57.68
Acapulco,41.86,40.66,35.81,49.9,47.25,42.24,54.23,50.724999999999994,46.27,57.71,54.325,51.03,63.03,60.195,57.75,73.42,69.03,62.37,41.86,40.66,35.81,49.9,47.25,42.24,54.23,50.724999999999994,46.27,57.71,54.325,51.03,63.03,60.195,57.75,73.42,69.03,62.37,41.86,40.66,35.81,49.9,47.25,42.24,54.23,50.724999999999994,46.27,57.71,54.325,51.03,63.03,60.195,57.75,73.42,69.03,62.37,41.88,38.765,35.57,49.71,46.21,43.44,54.64,51.325,49.16,58.19,54.615,52.36,64.97,59.08,56.19,71.99,65.755,62.02,40.68,37.56,31.46,48.12,45.46,36.58,52.84,51.54,39.99,57.03,55.39,44.36,62.77,60.3,55.25,67.85,64.925,61.35,41.11,38.775,31.76,48.11,46.495,39.95,53.15,52.02,44.83,57.47,55.885,49.28,64.27,60.41,52.6,74.25,65.6,60.11,42.5,36.760000000000005,31.87,49.37,44.515,38.8,54.19,49.144999999999996,45.16,57.61,53.225,50.65,62.45,59.165,55.15,75.79,68.745,61.81,42.3,35.785,29.53,49.92,44.165,38.36,55.51,49.105000000000004,44.82,60.79,52.64,50.36,65.67,57.96,55.92,71.6,66.30000000000001,61.09,43.9,37.36,29.98,50.76,45.8,37.03,56.79,51.055,43.2,61.29,55.79,48.19,65.46,60.56,55.72,72.28,69.91,63.16
Toamasina,39.79,37.545,36.06,48.66,45.83,42.72,54.49,50.875,47.32,59.1,55.230000000000004,51.24,64.13,60.465,54.77,69.95,67.19999999999999,62.37,39.79,18.03,0.0,48.66,26.669999999999998,0.0,54.49,34.214999999999996,0.0,59.1,38.26,0.0,64.13,43.365,0.0,69.95,52.785,0.0,39.79,36.67,0.0,48.66,44.205,7.66,54.49,49.465,9.87,59.1,54.445,11.51,64.13,59.915000000000006,21.49,69.95,66.52,27.09,40.98,37.15,0.0,48.13,45.485,0.0,52.22,50.614999999999995,0.0,56.32,54.705,0.0,60.82,59.085,0.0,69.7,66.665,0.0,41.34,37.775,0.0,49.39,45.25,0.0,53.94,50.114999999999995,0.0,57.19,54.68000000000001,0.0,61.98,59.33,7.85,69.63,64.71000000000001,18.19,41.53,38.22,0.0,48.63,46.265,0.0,53.02,51.34,0.0,57.44,55.33,0.0,62.35,61.0,0.0,69.79,66.83500000000001,0.0,37.74,36.05,0.0,45.68,44.004999999999995,0.0,51.25,49.62,0.0,56.48,53.875,0.0,61.84,59.285,0.0,66.69,65.03,0.0,42.12,37.595,0.0,48.5,45.45,0.0,52.38,49.89,0.0,56.07,53.845,4.28,60.82,58.44,5.32,66.03,65.095,6.32,42.45,38.31,5.4,49.76,45.515,10.42,54.54,50.629999999999995,18.36,59.55,54.825,21.76,64.89,59.745,26.01,72.04,66.505,31.95
Mumbai,0.0,0.0,0.0,20.72,13.615,0.0,28.9,26.405,21.12,34.02,31.060000000000002,27.19,42.84,37.379999999999995,35.31,54.79,51.015,43.27,0.0,0.0,0.0,20.72,13.615,0.0,28.9,26.405,21.12,34.02,31.060000000000002,27.19,42.84,37.379999999999995,35.31,54.79,51.015,43.27,0.0,0.0,0.0,20.72,13.615,0.0,28.9,26.405,21.12,34.02,31.060000000000002,27.19,42.84,37.379999999999995,35.31,54.79,51.015,43.27,0.0,0.0,0.0,23.08,19.93,18.09,28.41,26.689999999999998,23.92,34.75,32.34,28.12,41.42,40.045,33.41,62.07,48.085,44.2,0.0,0.0,0.0,21.95,20.134999999999998,0.0,29.43,25.41,23.91,34.85,30.205,28.62,47.65,37.29,36.81,56.1,51.425,44.14,0.0,0.0,0.0,25.42,20.585,19.54,31.4,27.18,24.91,37.76,33.415,29.36,46.24,42.06,36.3,56.92,53.505,43.78,0.0,0.0,0.0,25.83,20.46,19.87,31.53,27.44,26.35,36.29,32.900000000000006,30.6,45.84,41.95,37.26,58.2,53.099999999999994,46.4,18.32,0.0,0.0,26.41,19.165,18.25,30.69,25.98,25.1,36.8,32.145,30.26,47.43,40.870000000000005,36.08,58.84,50.725,42.06,20.89,0.0,0.0,28.21,20.84,19.17,34.58,26.765,25.2,40.16,33.1,29.17,49.27,41.79,34.05,62.37,50.09,40.85
Manila,39.39,36.849999999999994,35.87,47.76,44.36,42.81,52.78,48.980000000000004,47.02,56.33,54.215,51.68,62.46,59.605000000000004,58.05,68.56,65.575,62.2,39.39,36.849999999999994,35.87,47.76,44.36,42.81,52.78,48.980000000000004,47.02,56.33,54.215,51.68,62.46,59.605000000000004,58.05,68.56,65.575,62.2,39.39,36.849999999999994,35.87,47.76,44.36,42.81,52.78,48.980000000000004,47.02,56.33,54.215,51.68,62.46,59.605000000000004,58.05,68.56,65.575,62.2,38.95,37.480000000000004,36.72,47.01,44.67,43.27,50.98,49.565,47.67,55.12,53.54,51.92,61.43,59.335,56.62,70.17,65.405,61.38,39.37,37.95,35.47,46.76,45.315,42.58,51.94,49.82,48.47,56.41,54.724999999999994,52.14,62.37,60.285,56.08,73.61,66.275,63.15,39.4,38.705,38.08,47.42,46.07,45.77,51.75,51.075,49.94,57.43,55.65,53.64,64.28,59.605,57.71,73.54,66.165,61.11,38.23,36.225,34.55,44.85,42.989999999999995,41.87,48.95,47.785,46.43,53.62,52.33,51.14,58.82,57.375,55.61,66.0,64.155,63.13,38.49,37.9,36.42,47.61,45.29,44.42,52.22,49.155,48.72,56.19,52.775,52.25,61.46,58.22,55.32,69.52,66.63,62.77,40.43,39.265,36.41,48.58,46.32,43.37,53.6,50.84,48.97,57.56,55.015,52.85,61.47,59.31,56.63,67.98,65.595,62.51
