Scenario,base_ssp245_CRH,base_ssp245_CRH,base_ssp245_CRH,base_ssp245_CRH,base_ssp370_CRH,base_ssp370_CRH,base_ssp370_CRH,base_ssp370_CRH,base_ssp585_CRH,base_ssp585_CRH,base_ssp585_CRH,base_ssp585_CRH,fut1_ssp245_CRH,fut1_ssp245_CRH,fut1_ssp245_CRH,fut1_ssp245_CRH,fut1_ssp370_CRH,fut1_ssp370_CRH,fut1_ssp370_CRH,fut1_ssp370_CRH,fut1_ssp585_CRH,fut1_ssp585_CRH,fut1_ssp585_CRH,fut1_ssp585_CRH,fut2_ssp245_CRH,fut2_ssp245_CRH,fut2_ssp245_CRH,fut2_ssp245_CRH,fut2_ssp370_CRH,fut2_ssp370_CRH,fut2_ssp370_CRH,fut2_ssp370_CRH,fut2_ssp585_CRH,fut2_ssp585_CRH,fut2_ssp585_CRH,fut2_ssp585_CRH
Threshold,thr_33,thr_33,thr_50,thr_50,thr_33,thr_33,thr_50,thr_50,thr_33,thr_33,thr_50,thr_50,thr_33,thr_33,thr_50,thr_50,thr_33,thr_33,thr_50,thr_50,thr_33,thr_33,thr_50,thr_50,thr_33,thr_33,thr_50,thr_50,thr_33,thr_33,thr_50,thr_50,thr_33,thr_33,thr_50,thr_50
Statistic,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min
Noumea,8.83,6.28,80.77,36.2,8.83,6.28,80.77,36.2,8.83,6.28,80.77,36.2,8.53,5.82,82.51,39.57,8.61,6.18,100.48,33.11,8.42,6.21,95.61,32.14,9.14,5.66,64.03,33.51,10.5,5.92,92.55,33.72,9.4,4.94,69.44,25.6
Miami,10.49,6.91,146.62,60.71,10.49,6.91,146.62,60.71,10.49,6.91,146.62,60.71,9.76,6.89,134.38,59.16,10.71,4.09,111.63,30.04,10.52,5.1,152.76,51.61,13.95,5.46,157.0,47.54,15.73,5.75,183.86,49.93,16.75,4.12,395.03,33.96
Acapulco,6.91,3.99,84.04,25.1,6.91,3.99,84.04,25.1,6.91,3.99,84.04,25.1,7.51,3.52,61.13,25.95,12.66,4.33,161.1,32.43,11.53,3.86,116.38,32.34,11.48,4.34,89.05,27.4,14.41,3.47,101.26,25.36,15.1,2.72,134.93,22.23
Toamasina,7.35,5.43,81.1,30.37,389.47,5.43,2271.68,30.37,220.54,5.43,81.1,30.37,7.22,4.3,61.08,33.58,733.28,4.29,,,8.53,4.07,93.23,31.15,8.23,6.01,61.77,42.88,1306.14,4.17,58.27,31.26,106.34,3.9,1190.41,26.19
Mumbai,174.84,88.54,2735.13,651.66,174.84,88.54,2735.13,651.66,174.84,88.54,2735.13,651.66,224.34,84.13,3232.4,483.63,157.93,82.81,2044.35,333.68,153.77,59.12,2513.19,416.7,143.69,64.67,2020.63,480.13,153.21,70.18,2843.93,340.69,190.52,43.17,1892.95,279.33
Manila,7.13,5.24,76.02,31.61,7.13,5.24,76.02,31.61,7.13,5.24,76.02,31.61,6.04,5.13,73.42,41.99,7.56,4.37,63.7,39.28,5.58,4.85,50.79,37.48,8.08,5.3,93.24,60.44,6.75,5.26,66.09,34.52,6.66,3.91,67.04,29.85
