,ERA5,base,fut1_ssp245,fut1_ssp370,fut1_ssp585,fut2_ssp245,fut2_ssp370,fut2_ssp585
Noumea,52.96,54.08 (51.73-57.03),52.91 (51.43-55.08),53.20 (48.34-56.39),53.15 (46.72-57.80),53.09 (52.07-55.61),50.71 (46.23-54.89),50.16 (43.91-52.10)
Miami,51.44,50.84 (48.50-53.99),50.83 (46.89-53.07),49.70 (46.49-52.63),50.66 (46.12-53.65),47.48 (44.50-53.28),47.32 (42.98-52.53),45.35 (40.00-49.69)
Acapulco,55.39,54.51 (51.05-56.02),52.13 (46.24-56.44),53.50 (45.74-59.18),53.31 (48.82-56.36),52.21 (40.97-55.66),49.56 (39.14-58.10),48.51 (35.32-53.59)
Toamasina,53.92,56.09 (54.24-58.01),54.24 (52.81-57.06),53.52 (49.99-56.36),52.28 (50.17-55.48),53.44 (52.28-57.04),49.91 (44.07-50.98),52.76 (44.93-54.04)
Mumbai,27.83,32.01 (29.62-34.34),32.02 (24.67-37.19),29.53 (27.58-31.26),32.58 (25.41-35.21),29.14 (24.47-36.81),27.07 (21.61-32.08),25.86 (20.29-35.13)
Manila,51.59,52.23 (48.38-55.00),53.98 (50.66-58.16),52.23 (51.22-56.17),54.10 (50.51-55.40),52.05 (49.25-54.85),49.68 (44.55-55.30),49.78 (45.32-53.46)
