Scenario,base_ssp245_SD,base_ssp245_SD,base_ssp245_SD,base_ssp370_SD,base_ssp370_SD,base_ssp370_SD,base_ssp585_SD,base_ssp585_SD,base_ssp585_SD,fut1_ssp245_SD,fut1_ssp245_SD,fut1_ssp245_SD,fut1_ssp370_SD,fut1_ssp370_SD,fut1_ssp370_SD,fut1_ssp585_SD,fut1_ssp585_SD,fut1_ssp585_SD,fut2_ssp245_SD,fut2_ssp245_SD,fut2_ssp245_SD,fut2_ssp370_SD,fut2_ssp370_SD,fut2_ssp370_SD,fut2_ssp585_SD,fut2_ssp585_SD,fut2_ssp585_SD
Statistic,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min
Noumea,57.03,54.08,51.73,57.03,54.08,51.73,57.03,54.08,51.73,55.08,52.905,51.43,56.39,53.2,48.34,57.8,53.144999999999996,46.72,55.61,53.095,52.07,54.89,50.709999999999994,46.23,52.1,50.16,43.91
Miami,53.99,50.835,48.5,53.99,50.835,48.5,53.99,50.835,48.5,53.07,50.83,46.89,52.63,49.695,46.49,53.65,50.66,46.12,53.28,47.485,44.5,52.53,47.32,42.98,49.69,45.355000000000004,40.0
Acapulco,56.02,54.51,51.05,55.75,54.51,51.05,55.75,54.51,51.05,56.44,52.135,46.24,59.18,53.495000000000005,45.74,56.36,53.31,48.82,55.66,52.21,40.97,58.1,49.56,39.14,53.59,48.510000000000005,35.32
Toamasina,58.01,56.085,54.24,58.01,56.085,54.6,58.01,56.085,54.6,57.06,54.245,52.81,56.36,53.515,49.99,55.48,52.28,50.17,57.04,53.44,52.28,50.98,49.91,44.07,54.04,52.754999999999995,44.93
Mumbai,34.34,32.005,29.62,34.34,31.855,29.62,34.34,31.855,29.62,37.19,32.015,24.67,31.26,29.53,27.58,35.21,32.575,25.41,36.81,29.14,24.47,32.08,27.064999999999998,21.61,35.13,25.865000000000002,20.29
Manila,55.0,52.23,48.38,55.0,52.23,48.91,55.0,52.23,48.91,58.16,53.974999999999994,50.66,56.17,52.224999999999994,51.22,55.4,54.105000000000004,50.51,54.85,52.05,49.25,55.3,49.68,44.55,53.46,49.785,45.32
