Scenario,base_ssp245_CRH,base_ssp245_CRH,base_ssp245_CRH,base_ssp370_CRH,base_ssp370_CRH,base_ssp370_CRH,base_ssp585_CRH,base_ssp585_CRH,base_ssp585_CRH,fut1_ssp245_CRH,fut1_ssp245_CRH,fut1_ssp245_CRH,fut1_ssp370_CRH,fut1_ssp370_CRH,fut1_ssp370_CRH,fut1_ssp585_CRH,fut1_ssp585_CRH,fut1_ssp585_CRH,fut2_ssp245_CRH,fut2_ssp245_CRH,fut2_ssp245_CRH,fut2_ssp370_CRH,fut2_ssp370_CRH,fut2_ssp370_CRH,fut2_ssp585_CRH,fut2_ssp585_CRH,fut2_ssp585_CRH
Statistic,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min
Noumea,56.7,53.275000000000006,51.34,56.7,53.275000000000006,51.34,56.7,53.275000000000006,51.34,56.35,55.385000000000005,51.16,57.97,55.269999999999996,49.91,58.93,56.165,50.29,57.14,54.91,52.87,58.13,54.85,50.38,59.08,54.235,52.81
Miami,54.62,50.84,48.23,54.62,50.84,48.23,54.62,50.84,48.23,55.01,51.845,48.24,59.05,52.53,49.26,52.73,51.620000000000005,46.69,53.82,50.84,47.44,53.84,48.395,46.34,57.92,48.864999999999995,43.57
Acapulco,57.71,54.325,51.03,57.71,54.325,51.03,57.71,54.325,51.03,58.19,54.615,52.36,57.03,55.39,44.36,57.47,55.885,49.28,57.61,53.225,50.65,60.79,52.64,50.36,61.29,55.79,48.19
Toamasina,59.1,55.230000000000004,51.24,59.1,38.26,0.0,59.1,54.445,11.51,56.32,54.705,0.0,57.19,54.68000000000001,0.0,57.44,55.33,0.0,56.48,53.875,0.0,56.07,53.845,4.28,59.55,54.825,21.76
Mumbai,34.02,31.060000000000002,27.19,34.02,31.060000000000002,27.19,34.02,31.060000000000002,27.19,34.75,32.34,28.12,34.85,30.205,28.62,37.76,33.415,29.36,36.29,32.900000000000006,30.6,36.8,32.145,30.26,40.16,33.1,29.17
Manila,56.33,54.215,51.68,56.33,54.215,51.68,56.33,54.215,51.68,55.12,53.54,51.92,56.41,54.724999999999994,52.14,57.43,55.65,53.64,53.62,52.33,51.14,56.19,52.775,52.25,57.56,55.015,52.85
