,ERA5,base,fut1_ssp245,fut1_ssp370,fut1_ssp585,fut2_ssp245,fut2_ssp370,fut2_ssp585
Noumea,9.5,7.6 (6.3-8.8),7.2 (5.8-8.5),7.4 (6.2-8.6),7.3 (6.2-8.4),7.4 (5.7-9.1),8.2 (5.9-10.5),7.2 (4.9-9.4)
Miami,8.7,8.7 (6.9-10.5),8.3 (6.9-9.8),7.4 (4.1-10.7),7.8 (5.1-10.5),9.7 (5.5-13.9),10.7 (5.8-15.7),10.4 (4.1-16.8)
Acapulco,4.7,5.5 (4.0-6.9),5.5 (3.5-7.5),8.5 (4.3-12.7),7.7 (3.9-11.5),7.9 (4.3-11.5),8.9 (3.5-14.4),8.9 (2.7-15.1)
Toamasina,7.8,6.4 (5.4-7.3),5.8 (4.3-7.2),368.8 (4.3-733.3),6.3 (4.1-8.5),7.1 (6.0-8.2),655.2 (4.2-1306.1),55.1 (3.9-106.3)
Mumbai,229.1,131.7 (88.5-174.8),154.2 (84.1-224.3),120.4 (82.8-157.9),106.4 (59.1-153.8),104.2 (64.7-143.7),111.7 (70.2-153.2),116.8 (43.2-190.5)
Manila,6.6,6.2 (5.2-7.1),5.6 (5.1-6.0),6.0 (4.4-7.6),5.2 (4.8-5.6),6.7 (5.3-8.1),6.0 (5.3-6.8),5.3 (3.9-6.7)
