,ERA5,base,fut1_ssp245,fut1_ssp370,fut1_ssp585,fut2_ssp245,fut2_ssp370,fut2_ssp585
Noumea,9.5,7.9 (6.3-9.4),9.3 (6.6-11.9),9.9 (7.0-12.8),11.5 (6.6-16.4),11.7 (8.2-15.2),14.0 (9.5-18.5),19.4 (9.1-29.8)
Miami,8.7,9.0 (6.2-11.9),9.1 (6.8-11.4),11.7 (6.9-16.5),9.4 (6.3-12.4),15.9 (8.2-23.6),15.9 (9.7-22.2),22.3 (10.2-34.5)
Acapulco,4.7,6.8 (4.9-8.7),8.3 (5.2-11.3),10.6 (4.8-16.3),8.5 (4.9-12.1),13.4 (5.7-21.0),19.6 (6.7-32.5),34.3 (5.5-63.1)
Toamasina,7.8,5.9 (5.4-6.5),7.8 (5.7-9.9),7.8 (6.3-9.4),9.5 (5.6-13.3),10.4 (7.2-13.7),19.8 (8.9-30.7),18.1 (8.8-27.4)
Mumbai,229.1,114.7 (78.7-150.7),154.5 (77.9-231.2),218.4 (121.8-314.9),279.5 (72.3-486.7),218.3 (69.3-367.4),342.2 (115.2-569.1),342.8 (86.3-599.3)
Manila,6.6,6.8 (5.2-8.3),6.9 (5.7-8.1),7.7 (5.8-9.6),6.5 (5.4-7.7),8.1 (5.9-10.2),13.7 (8.2-19.1),13.0 (6.7-19.3)
